Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Author_LabelEncoded,Surname,First Names,ISBN Label Encoded,ISBN13 Label Encoded,Publisher_Frequency,Binding_Audible Audio,Binding_Audiobook,Binding_Board Book,Binding_Comic,Binding_Hardcover,Binding_Kindle Edition,Binding_Library Binding,Binding_Mass Market Paperback,Binding_Paperback,Binding_ebook,Bookshelves_Frequency,Exclusive_Shelf_currently-reading,Exclusive_Shelf_read,Exclusive_Shelf_to-read,Exclusive_Shelf_Frequency,Spoiler_False,Spoiler_True,Spoiler_False.1,Spoiler_True.1,My_Review_False,My_Review_True,Spoiler_False.2,Spoiler_True.2,My Rating_outlier,Average Rating_outlier,Number of Pages_outlier,Year Published_outlier,Original Publication Year_outlier
50617439,Louvor da Terra,Byung-Chul Han,"Han, Byung-Chul",{'Miguel Serras Pereira': 1.0},9896419884,9789900000000.0,0,3.76,Relógio D'Água Editores,Paperback,152.0,2020.0,2005.0,2021-01-01,2024-01-30,to-read,to-read (#179),to-read,False,False,False,0,0,28,Han, Byung-Chul,288,89,1,0,0,0,0,0,0,0,0,1,0,179,0,0,1,179,1,0,1,0,1,0,1,0,False,False,False,False,False
11838916,Cat Stories (Everyman's Library Pocket Classics Series),Diana Secker Tesdell,"Tesdell, Diana Secker",{},307700895,9780310000000.0,0,3.56,Everyman's Library,Hardcover,400.0,2011.0,2011.0,2021-01-01,2024-01-29,"cats, fiction, short-stories, currently-reading","cats (#5), fiction (#35), short-stories (#2), currently-reading (#13)",currently-reading,False,False,False,1,0,57,Tesdell, Diana Secker,168,9,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13,1,0,1,0,1,0,1,0,False,False,False,False,False
37844623,"The Blood (Jem Flockhart, #3)",E.S. Thomson,"Thomson, E.S.",{},1472126572,9781470000000.0,5,4.08,Constable,Hardcover,375.0,2018.0,2018.0,2024-01-28,2024-01-18,"historical-fiction, mystery","historical-fiction (#5), mystery (#7)",read,False,False,False,1,0,61,Thomson, E.S.,46,49,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
124798505,Four Seasons in Japan,Nick  Bradley,"Bradley, Nick",{},085752934X,9780860000000.0,0,4.26,Doubleday,Hardcover,336.0,2023.0,2023.0,2021-01-01,2023-12-08,to-read,to-read (#178),to-read,False,False,False,0,0,164,Bradley, Nick,9,36,3,0,0,0,0,1,0,0,0,0,0,179,0,0,1,179,1,0,1,0,1,0,1,0,False,False,False,False,False
1464992,"""Reader's Digest"" Farmhouse Cookery: Recipes from the Country Kitchen",Reader's Digest,"Digest, Reader's",{},276002105,9780280000000.0,5,4.8,Reader's Digest Association,Hardcover,400.0,1980.0,1980.0,2021-01-01,2023-12-05,"non-fiction, cookbook","non-fiction (#17), cookbook (#1)",read,False,False,False,1,0,181,Digest, Reader's,166,8,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,True,False
40539188,The Elder Scrolls: The Official Cookbook,Chelsea Monroe-Cassel,"Monroe-Cassel, Chelsea",{},1683833988,9781680000000.0,4,4.51,Insight Editions,Hardcover,192.0,2019.0,2019.0,2021-01-01,2023-12-05,"cookbook, non-fiction","cookbook (#2), non-fiction (#18)",read,False,False,False,0,0,41,Monroe-Cassel, Chelsea,116,62,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
13436287,Korea: The Impossible Country,Daniel Tudor,"Tudor, Daniel",{},804842523,9780800000000.0,0,4.05,Tuttle Publishing,Hardcover,312.0,2012.0,2012.0,2021-01-01,2023-11-22,to-read,to-read (#177),to-read,False,False,False,0,0,50,Tudor, Daniel,243,33,1,0,0,0,0,1,0,0,0,0,0,179,0,0,1,179,1,0,1,0,1,0,1,0,False,False,False,False,False
202341478,Poetry Scraps,Rowan  Skye,"Skye, Rowan",{},1728376033,9781730000000.0,0,0.0,AuthorHouse,Hardcover,116.0,2023.0,2007.0,2023-11-02,2023-11-12,poetry,poetry (#13),read,False,False,False,1,0,186,Skye, Rowan,118,63,1,0,0,0,0,1,0,0,0,0,0,13,0,1,0,194,1,0,1,0,1,0,1,0,False,True,False,False,False
59629744,Diary of a Void,Emi Yagi,"Yagi, Emi","{'David Boyd': 0.5, 'Lucy North': 0.5}",143136879,9780140000000.0,0,3.52,Viking,Hardcover,213.0,2022.0,2020.0,2021-01-01,2023-11-12,to-read,to-read (#176),to-read,False,False,False,0,0,69,Yagi, Emi,40,3,1,0,0,0,0,1,0,0,0,0,0,179,0,0,1,179,1,0,1,0,1,0,1,0,False,False,False,False,False
18952341,"The Grace of Kings (The Dandelion Dynasty, #1)",Ken Liu,"Liu, Ken",{},1481424270,9781480000000.0,0,3.78,Saga Press,Hardcover,640.0,2015.0,2015.0,2021-01-01,2023-11-03,"currently-reading, fantasy, novel","currently-reading (#12), fantasy (#120), novel (#8)",currently-reading,False,False,False,1,0,124,Liu, Ken,49,50,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13,1,0,1,0,1,0,1,0,False,False,False,False,False
21981650,The Original Folk and Fairy Tales of the Brothers Grimm,Jacob Grimm,"Grimm, Jacob","{'Wilhelm Grimm': 0.3333333333333333, 'Jack D. Zipes': 0.3333333333333333, 'Andrea Dezso': 0.3333333333333333}",691160597,9780690000000.0,0,4.28,Princeton University Press,Hardcover,568.0,2014.0,1812.0,2021-01-01,2023-10-16,"currently-reading, fantasy, novel, short-stories","currently-reading (#11), fantasy (#119), novel (#7), short-stories (#1)",currently-reading,False,False,False,1,0,102,Grimm, Jacob,217,25,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13,1,0,1,0,1,0,1,0,False,False,False,False,False
179064,"The Goose Girl (The Books of Bayern, #1)",Shannon Hale,"Hale, Shannon",{},1582349908,9781580000000.0,4,4.14,Bloomsbury Children's Books,Paperback,383.0,2005.0,2003.0,2023-10-16,2023-10-16,"fantasy, novel","fantasy (#118), novel (#6)",read,False,False,False,1,0,198,Hale, Shannon,65,55,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
74928,"Hellsing, Vol. 1 (Hellsing, #1)",Kohta Hirano,"Hirano, Kohta","{'Duane Johnson': 0.5, 'Wilbert Lacuna': 0.5}",159307056X,9781590000000.0,3,4.26,Dark Horse Comics LLC,Paperback,208.0,2009.0,1998.0,2023-10-07,2023-10-07,"fantasy, horror-thriller, manga","fantasy (#117), horror-thriller (#50), manga (#59)",read,False,False,False,1,0,127,Hirano, Kohta,69,56,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
54739527,ベルセルク 41 [Berserk 41],Kentaro Miura,"Miura, Kentaro",{'三浦建太郎': 1.0},4592166914,9784590000000.0,5,4.84,白泉社,Paperback,180.0,2021.0,2021.0,2023-10-06,2023-10-06,"fantasy, horror-thriller, manga","fantasy (#116), horror-thriller (#49), manga (#58)",read,False,False,False,1,0,125,Miura, Kentaro,189,77,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
29540260,"Berserk, Volume 40 (Berserk Meio-Tanko, #40)",Kentaro Miura,"Miura, Kentaro",{'Drik Sada': 1.0},,,5,4.87,Panini Comics,Paperback,128.0,2008.0,2007.0,2023-10-02,2023-10-02,"fantasy, horror-thriller, manga","fantasy (#115), horror-thriller (#48), manga (#57)",read,False,False,False,1,0,125,Miura, Kentaro,301,92,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
35524848,"ベルセルク 39 (Berserk, #39)",Kentaro Miura,"Miura, Kentaro",{'三浦建太郎': 1.0},4592144392,9784590000000.0,5,4.75,白泉社,Paperback,196.0,2017.0,2017.0,2023-10-02,2023-10-02,"fantasy, horror-thriller, manga","fantasy (#114), horror-thriller (#47), manga (#56)",read,False,False,False,1,0,125,Miura, Kentaro,188,77,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
33253014,"Berserk, Vol. 38",Kentaro Miura,"Miura, Kentaro",{},1506703984,9781510000000.0,5,4.69,Dark Horse Manga,Paperback,208.0,2017.0,2007.0,2023-10-02,2023-10-02,"fantasy, horror-thriller, manga","fantasy (#113), horror-thriller (#46), manga (#55)",read,False,False,False,1,0,125,Miura, Kentaro,53,52,42,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
51648276,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,"Tokarczuk, Olga","{'Antonia Lloyd-Jones': 0.5, 'Beata Poźniak': 0.5}",,,0,3.96,Penguin Audio,Audible Audio,266.0,2019.0,2009.0,2021-01-01,2023-10-02,to-read,to-read (#175),to-read,False,False,False,0,0,167,Tokarczuk, Olga,301,92,1,1,0,0,0,0,0,0,0,0,0,179,0,0,1,179,1,0,1,0,1,0,1,0,False,False,False,False,False
18208495,"Berserk, Vol. 37",Kentaro Miura,"Miura, Kentaro",{'Chris Warner': 1.0},1616552050,9781620000000.0,5,4.63,Dark Horse Manga,Paperback,232.0,2013.0,2013.0,2023-09-30,2023-09-30,"fantasy, horror-thriller, manga","fantasy (#112), horror-thriller (#45), manga (#54)",read,False,False,False,1,0,125,Miura, Kentaro,102,58,42,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
15894058,"Berserk, Vol. 36",Kentaro Miura,"Miura, Kentaro",{},1595829423,9781600000000.0,5,4.58,Dark Horse Manga,Paperback,211.0,2012.0,2011.0,2023-09-27,2023-09-27,"fantasy, horror-thriller, manga","fantasy (#111), horror-thriller (#44), manga (#53)",read,False,False,False,1,0,125,Miura, Kentaro,100,57,42,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
1054074,Poems Bewitched and Haunted (Everyman's Library Pocket Poets Series),John Hollander,"Hollander, John",{},1400043883,9781400000000.0,0,3.9,Everyman's Library,Hardcover,256.0,2005.0,2005.0,2021-01-01,2023-09-27,to-read,to-read (#174),to-read,False,False,False,0,0,114,Hollander, John,25,43,2,0,0,0,0,1,0,0,0,0,0,179,0,0,1,179,1,0,1,0,1,0,1,0,False,False,False,False,False
11452849,"Berserk, Vol. 35",Kentaro Miura,"Miura, Kentaro",{},1595826955,9781600000000.0,5,4.57,Dark Horse Manga,Paperback,216.0,2011.0,2010.0,2023-09-26,2023-09-26,"fantasy, horror-thriller, manga","fantasy (#110), horror-thriller (#43), manga (#52)",read,False,False,False,1,0,125,Miura, Kentaro,99,57,42,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
8728667,"Berserk, Vol. 34",Kentaro Miura,"Miura, Kentaro",{},1595825320,9781600000000.0,5,4.69,Dark Horse,Paperback,240.0,2010.0,2009.0,2023-09-26,2023-09-26,"fantasy, horror-thriller, manga","fantasy (#109), horror-thriller (#42), manga (#51)",read,False,False,False,1,0,125,Miura, Kentaro,98,57,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
7608213,"Berserk, Vol. 33",Kentaro Miura,"Miura, Kentaro",{},1595823727,9781600000000.0,4,4.64,Dark Horse Manga,Paperback,232.0,2010.0,2008.0,2023-09-26,2023-09-26,"fantasy, horror-thriller, manga","fantasy (#108), horror-thriller (#41), manga (#50)",read,False,False,False,1,0,125,Miura, Kentaro,97,57,42,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
7399514,"Berserk, Vol. 32",Kentaro Miura,"Miura, Kentaro",{},1595823670,9781600000000.0,5,4.63,Dark Horse Manga,Paperback,232.0,2009.0,2007.0,2023-09-26,2023-09-26,"fantasy, horror-thriller, manga","fantasy (#107), horror-thriller (#40), manga (#49)",read,False,False,False,1,0,125,Miura, Kentaro,96,57,42,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
1875541,"Berserk, Vol. 31",Kentaro Miura,"Miura, Kentaro",{},1595823662,9781600000000.0,5,4.62,Dark Horse,Paperback,208.0,2009.0,2006.0,2023-09-26,2023-09-26,"fantasy, horror-thriller, manga","fantasy (#106), horror-thriller (#39), manga (#48)",read,False,False,False,1,0,125,Miura, Kentaro,95,57,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,194,1,0,1,0,1,0,1,0,False,False,False,False,False
