Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
50617439,Louvor da Terra,Byung-Chul Han,"Han, Byung-Chul",Miguel Serras Pereira,9896419884,9789900000000.00,0,3.76,Relógio D'Água Editores,Paperback,152,2020,2005,,30/01/2024,to-read,to-read (#179),to-read,,,,0,0
50617439,Louvor da Terra,Byung-Chul Han,"Han, Byung-Chul",Miguel Serras Pereira,9896419884,9789900000000.00,0,3.76,Relógio D'Água Editores,Paperback,152,2020,2005,,30/01/2024,to-read,to-read (#179),to-read,,,,0,0
11838916,Cat Stories (Everyman's Library Pocket Classics Series),Diana Secker Tesdell,"Tesdell, Diana Secker",,307700895,9780310000000.00,0,3.56,Everyman's Library,Hardcover,400,2011,2011,,29/01/2024,"cats, fiction, short-stories, currently-reading","cats (#5), fiction (#35), short-stories (#2), currently-reading (#13)",currently-reading,,,,1,0
37844623,"The Blood (Jem Flockhart, #3)",E.S. Thomson,"Thomson, E.S.",,1472126572,9781470000000.00,5,4.08,Constable,Hardcover,375,2018,2018,28/01/2024,18/01/2024,"historical-fiction, mystery","historical-fiction (#5), mystery (#7)",read,,,,1,0
124798505,Four Seasons in Japan,Nick  Bradley,"Bradley, Nick",,085752934X,9780860000000.00,0,4.26,Doubleday,Hardcover,336,2023,2023,,08/12/2023,to-read,to-read (#178),to-read,,,,0,0
124798505,Four Seasons in Japan,Nick  Bradley,"Bradley, Nick",,085752934X,9780860000000.00,0,4.26,Doubleday,Hardcover,336,2023,2023,,08/12/2023,to-read,to-read (#178),to-read,,,,0,0
1464992,"""Reader's Digest"" Farmhouse Cookery: Recipes from the Country Kitchen",Reader's Digest,"Digest, Reader's",,276002105,9780280000000.00,5,4.8,Reader's Digest Association,Hardcover,400,1980,1980,,05/12/2023,"non-fiction, cookbook","non-fiction (#17), cookbook (#1)",read,,,,1,0
40539188,The Elder Scrolls: The Official Cookbook,Chelsea Monroe-Cassel,"Monroe-Cassel, Chelsea",,1683833988,9781680000000.00,4,4.51,Insight Editions,Hardcover,192,2019,2019,,05/12/2023,"cookbook, non-fiction","cookbook (#2), non-fiction (#18)",read,,,,0,0
13436287,Korea: The Impossible Country,Daniel Tudor,"Tudor, Daniel",,804842523,9780800000000.00,0,4.05,Tuttle Publishing,Hardcover,312,2012,2012,,22/11/2023,to-read,to-read (#177),to-read,,,,0,0
202341478,Poetry Scraps,Rowan  Skye,"Skye, Rowan",,1728376033,9781730000000.00,0,0,AuthorHouse,Hardcover,116,2023,,02/11/2023,12/11/2023,poetry,poetry (#13),read,,,,1,0
59629744,Diary of a Void,Emi Yagi,"Yagi, Emi","David Boyd, Lucy North",143136879,9780140000000.00,0,3.52,Viking,Hardcover,213,2022,2020,,12/11/2023,to-read,to-read (#176),to-read,,,,0,0
18952341,"The Grace of Kings (The Dandelion Dynasty, #1)",Ken Liu,"Liu, Ken",,1481424270,9781480000000.00,0,3.78,Saga Press,Hardcover,640,2015,2015,,03/11/2023,"currently-reading, fantasy, novel","currently-reading (#12), fantasy (#120), novel (#8)",currently-reading,,,,1,0
21981650,The Original Folk and Fairy Tales of the Brothers Grimm,Jacob Grimm,"Grimm, Jacob","Wilhelm Grimm, Jack D. Zipes, Andrea Dezso",691160597,9780690000000.00,0,4.28,Princeton University Press,Hardcover,568,2014,1812,,16/10/2023,"currently-reading, fantasy, novel, short-stories","currently-reading (#11), fantasy (#119), novel (#7), short-stories (#1)",currently-reading,,,,1,0
179064,"The Goose Girl (The Books of Bayern, #1)",Shannon Hale,"Hale, Shannon",,1582349908,9781580000000.00,4,4.14,Bloomsbury Children's Books,Paperback,383,2005,2003,16/10/2023,16/10/2023,"fantasy, novel","fantasy (#118), novel (#6)",read,,,,1,0
74928,"Hellsing, Vol. 1 (Hellsing, #1)",Kohta Hirano,"Hirano, Kohta","Duane Johnson, Wilbert Lacuna",159307056X,9781590000000.00,3,4.26,Dark Horse Comics LLC,Paperback,208,2009,1998,07/10/2023,07/10/2023,"fantasy, horror-thriller, manga","fantasy (#117), horror-thriller (#50), manga (#59)",read,,,,1,0
54739527,ベルセルク 41 [Berserk 41],Kentaro Miura,"Miura, Kentaro",三浦建太郎,4592166914,9784590000000.00,5,4.84,白泉社,Paperback,180,2021,2021,06/10/2023,06/10/2023,"fantasy, horror-thriller, manga","fantasy (#116), horror-thriller (#49), manga (#58)",read,,,,1,0
29540260,"Berserk, Volume 40 (Berserk Meio-Tanko, #40)",Kentaro Miura,"Miura, Kentaro",Drik Sada,,,5,4.87,Panini Comics,Paperback,128,2008,,02/10/2023,02/10/2023,"fantasy, horror-thriller, manga","fantasy (#115), horror-thriller (#48), manga (#57)",read,,,,1,0
35524848,"ベルセルク 39 (Berserk, #39)",Kentaro Miura,"Miura, Kentaro",三浦建太郎,4592144392,9784590000000.00,5,4.75,白泉社,Paperback,196,2017,2017,02/10/2023,02/10/2023,"fantasy, horror-thriller, manga","fantasy (#114), horror-thriller (#47), manga (#56)",read,,,,1,0
